Checkpoint,Model,F1_Mean,F1_Std,AUC_Mean,AUC_Std,Kappa_Mean,Kappa_Std,Acc_Mean,Acc_Std,Prec_Mean,Prec_Std,Rec_Mean,Rec_Std,CV_F1_Mean,CV_F1_Std,Train_Time_Mean
Week 12,Logistic Regression,0.8432917756913447,0.0,0.921874186731624,0.0,0.6866992850622109,0.0,0.8614457831325302,0.0,0.83888635788408,0.0,0.8484536189792117,0.0,0.8600150535356572,0.008817005970578436,0.018
Week 12,Random Forest,0.8498783070085276,0.0051767503911553615,0.9250804159770152,0.00036188216682314585,0.6997958189528408,0.010333853026073533,0.8680722891566266,0.004833375462614841,0.8471881647296291,0.005813875323333404,0.8528361596035936,0.004464319152159398,0.880152430191098,0.008547976046475307,0.6886
Week 12,XGBoost,0.8500760282663211,0.00447478771252102,0.9172147444905947,0.0012760564360599458,0.7001609554162059,0.008938709651279766,0.869578313253012,0.0034671278413317083,0.8507281091329174,0.003385127578319138,0.8494852336487513,0.00568885279570426,0.8850574641223222,0.0062439650114001575,0.38439999999999996
Week 4,Logistic Regression,0.7353471785189847,0.0,0.7995273934813611,0.0,0.47074431824140783,0.0,0.7710843373493976,0.0,0.7372382371906679,0.0,0.7336227267522355,0.0,0.7184961458065638,0.009598712865852899,0.0124
Week 4,Random Forest,0.7213594297747796,0.00767632296094238,0.8060043929504597,0.001988270350270902,0.4437972826222179,0.015463676498698104,0.7656626506024097,0.007031697307185977,0.731677355398689,0.008878942336991465,0.7145185971706068,0.006998957311176532,0.8073778749838919,0.009615305931263233,0.674
Week 4,XGBoost,0.6982058976204766,0.001373480212116126,0.7827363292839074,0.005606515360327221,0.39752138038728846,0.003044366324257143,0.7457831325301205,0.002896895190010715,0.7071073786321663,0.003612069237613786,0.6924518284875549,0.0012315048442734543,0.8150163319147742,0.009953923554239612,0.3872
Week 8,Logistic Regression,0.8062653562653563,0.0,0.8922998448934554,0.0,0.6127249843956246,0.0,0.8283132530120481,0.0,0.8018225990181354,0.0,0.8116756711741253,0.0,0.8476388311072226,0.007716430081695402,0.013600000000000001
Week 8,Random Forest,0.8207645584469352,0.001944713694940883,0.899251532848235,0.0010489013187393184,0.6415319151124599,0.0038888948117704533,0.8436746987951806,0.0019636151822899277,0.8205429717958491,0.002512328019194333,0.8210018425408325,0.001508364108474651,0.8693384842517231,0.00733795299386295,0.6894
Week 8,XGBoost,0.8201108014914131,0.0037826428523188016,0.8919438285291944,0.0027324122063697096,0.640232382632562,0.007574248300106939,0.8433734939759037,0.0038396231277053844,0.8204947301230339,0.005003052450215973,0.8197890967385988,0.0029343998816518807,0.873408938473994,0.00986099034892236,0.333
