Checkpoint,Model,Val_F1_Macro,Test_F1_Macro
Week 4,Logistic Regression,0.6960213816007091,0.7207168384791052
Week 4,Random Forest,0.7113012097957587,0.7204745503252965
Week 4,XGBoost,0.7057791858037025,0.7060961706122997
Week 8,Logistic Regression,0.8284834682860999,0.8121940181840621
Week 8,Random Forest,0.8339506221586945,0.823740670185191
Week 8,XGBoost,0.8029989156433543,0.8228555287028028
Week 12,Logistic Regression,0.8549252804123331,0.8440811797644083
Week 12,Random Forest,0.8537444933920705,0.8532985727541867
Week 12,XGBoost,0.8368368912099367,0.8575897387610767
